postcode,locality,state
2700,BUNDURE,NSW
3465,BUNG BONG,VIC
2550,BUNGA,NSW
2852,BUNGABA,NSW
4419,BUNGABAN,QLD
2480,BUNGABBEE,NSW
4671,BUNGADOO,QLD
3260,BUNGADOR,VIC
3334,BUNGAL,VIC
3401,BUNGALALLY,VIC
2486,BUNGALORA,NSW
4870,BUNGALOW,QLD
5540,BUNGAMA,SA
2630,BUNGARBY,NSW
3352,BUNGAREE,VIC
5464,BUNGAREE,SA
7256,BUNGAREE,TAS
2767,BUNGARRIBEE,NSW
2469,BUNGAWALBIN,NSW
3726,BUNGEET,VIC
3726,BUNGEET WEST,VIC
2621,BUNGENDORE,NSW
5641,BUNGEROO,SA
4455,BUNGEWORGORAI,QLD
3691,BUNGIL,VIC
4455,BUNGIL,QLD
2580,BUNGONIA,NSW
2640,BUNGOWANNAH,NSW
2372,BUNGULLA,NSW
6410,BUNGULLA,WA
3527,BUNGULUKE,VIC
4703,BUNGUNDARRA,QLD
4494,BUNGUNYA,QLD
2423,BUNGWAHL,NSW
6353,BUNICHE,WA
3357,BUNINYONG,VIC
6620,BUNJIL,WA
6623,BUNJIL,WA
4310,BUNJURGEN,QLD
3352,BUNKERS HILL,VIC
2731,BUNNALOO,NSW
2337,BUNNAN,NSW
6613,BUNTINE,WA
4055,BUNYA,QLD
4655,BUNYA CREEK,QLD
4405,BUNYA MOUNTAINS,QLD
2429,BUNYAH,NSW
2630,BUNYAN,NSW
3815,BUNYIP,VIC
3815,BUNYIP NORTH,VIC
5417,BUNYUNG,SA
3858,BURAGWONDUC,VIC
2646,BURAJA,NSW
6467,BURAKIN,WA
6452,BURAMINYA,WA
4102,BURANDA,QLD
4156,BURBANK,QLD
2620,BURBONG,NSW
2380,BURBURGATE,NSW
2671,BURCHER,NSW
4818,BURDELL,QLD
2804,BURDETT,NSW
5253,BURDETT,SA
2328,BUREEN,NSW
6227,BUREKUP,WA
6302,BURGES,WA
2672,BURGOONEY,NSW
4659,BURGOWAN,QLD
3568,BURKES BRIDGE,VIC
3475,BURKES FLAT,VIC
4830,BURKETOWN,QLD
4822,BURLEIGH,QLD
4220,BURLEIGH BC,QLD
4220,BURLEIGH DC,QLD
4220,BURLEIGH HEADS,QLD
4220,BURLEIGH TOWN,QLD
4220,BURLEIGH WATERS,QLD
6401,BURLONG,WA
6532,BURMA ROAD,WA
3371,BURNBANK,VIC
4413,BURNCLUITH,QLD
4310,BURNETT CREEK,QLD
4670,BURNETT DOWNS,QLD
4670,BURNETT HEADS,QLD
3558,BURNEWANG,VIC
7320,BURNIE,TAS
3121,BURNLEY,VIC
3121,BURNLEY NORTH,VIC
2880,BURNS,NSW
6028,BURNS BEACH,WA
7212,BURNS CREEK,TAS
5520,BURNSFIELD,SA
3023,BURNSIDE,VIC
4208,BURNSIDE,QLD
4560,BURNSIDE,QLD
5066,BURNSIDE,SA
6285,BURNSIDE,WA
3023,BURNSIDE HEIGHTS,VIC
2440,BURNT BRIDGE,NSW
2792,BURNT YARDS,NSW
2739,BURONGA,NSW
4505,BURPENGARY,QLD
4505,BURPENGARY DC,QLD
4505,BURPENGARY EAST,QLD
5732,BURR WELL,SA
2620,BURRA,NSW
2653,BURRA,NSW
2722,BURRA,NSW
5417,BURRA,SA
4410,BURRA BURRI,QLD
2722,BURRA CREEK,NSW
5417,BURRA EASTERN DISTRICTS,SA
2732,BURRABOI,NSW
6421,BURRACOPPIN,WA
2576,BURRADOO,NSW
2795,BURRAGA,NSW
2550,BURRAGATE,NSW
2570,BURRAGORANG VALLEY,NSW
3559,BURRAMBOOT,VIC
3730,BURRAMINE,VIC
3730,BURRAMINE SOUTH,VIC
6490,BURRAN ROCK,WA
2650,BURRANDANA,NSW
2230,BURRANEER,NSW
2594,BURRANGONG,NSW
2447,BURRAPINE,NSW
4875,BURRAR ISLET,QLD
2577,BURRAWANG,NSW
2429,BURRELL CREEK,NSW
2386,BURREN JUNCTION,NSW
2540,BURRIER,NSW
2539,BURRILL LAKE,NSW
2483,BURRINGBAR,NSW
2582,BURRINJUCK,NSW
2821,BURROWAY,NSW
3709,BURROWYE,VIC
4659,BURRUM,QLD
4659,BURRUM HEADS,QLD
4659,BURRUM RIVER,QLD
4659,BURRUM TOWN,QLD
3352,BURRUMBEET,VIC
2642,BURRUMBUTTOCK,NSW
822,BURRUNDIE,NT
2850,BURRUNDULLA,NSW
2627,BURRUNGUBUGGE,NSW
5291,BURRUNGULE,SA
6714,BURRUP,WA
6100,BURSWOOD,WA
872,BURT PLAIN,NT
4742,BURTON,QLD
5110,BURTON,SA
6440,BURTVILLE,WA
4680,BURUA,QLD
1805,BURWOOD,NSW
2134,BURWOOD,NSW
3125,BURWOOD,VIC
3151,BURWOOD EAST,VIC
2136,BURWOOD HEIGHTS,NSW
3151,BURWOOD HEIGHTS,VIC
2134,BURWOOD NORTH,NSW
2168,BUSBY,NSW
2469,BUSBYS FLAT,NSW
2259,BUSHELLS RIDGE,NSW
3281,BUSHFIELD,VIC
4818,BUSHLAND BEACH,QLD
4702,BUSHLEY,QLD
6055,BUSHMEAD,WA
3860,BUSHY PARK,VIC
4825,BUSHY PARK,QLD
7140,BUSHY PARK,TAS
6280,BUSSELTON,WA
4885,BUTCHERS CREEK,QLD
3885,BUTCHERS RIDGE,VIC
5560,BUTE,SA
5605,BUTLER,SA
6036,BUTLER,WA
7140,BUTLERS GORGE,TAS
2283,BUTTABA,NSW
2323,BUTTAI,NSW
2321,BUTTERWICK,NSW
2571,BUXTON,NSW
3711,BUXTON,VIC
4660,BUXTON,QLD
2446,BYABARRA,NSW
2628,BYADBO WILDERNESS,NSW
3301,BYADUK,VIC
3300,BYADUK NORTH,VIC
2484,BYANGUM,NSW
3678,BYAWATHA,VIC
4387,BYBERA,QLD
4605,BYEE,QLD
4680,BYELLEE,QLD
4703,BYFIELD,QLD
6122,BYFORD,WA
2669,BYGALORIE,NSW
3762,BYLANDS,VIC
2849,BYLONG,NSW
4455,BYMOUNT,QLD
2798,BYNG,NSW
2800,BYNG,NSW
822,BYNOE,NT
822,BYNOE HARBOUR,NT
3617,BYRNESIDE,VIC
4625,BYRNESTOWN,QLD
2831,BYROCK,NSW
2481,BYRON BAY,NSW
2484,BYRRILL CREEK,NSW
2621,BYWONG,NSW
3888,CABANANDRA,VIC
2137,CABARITA,NSW
3505,CABARITA,VIC
2488,CABARITA BEACH,NSW
4352,CABARLAH,QLD
3364,CABBAGE TREE,VIC
3889,CABBAGE TREE CREEK,VIC
2430,CABBAGE TREE ISLAND,NSW
2477,CABBAGE TREE ISLAND,NSW
4207,CABBAGE TREE POINT,QLD
6726,CABLE BEACH,WA
4510,CABOOLTURE,QLD
4510,CABOOLTURE BC,QLD
4510,CABOOLTURE SOUTH,QLD
4312,CABOONBAH,QLD
2166,CABRAMATTA,NSW
2166,CABRAMATTA WEST,NSW
2629,CABRAMURRA,NSW
4413,CADARGA,QLD
2747,CADDENS,NSW
5321,CADELL,SA
5321,CADELL LAGOON,SA
3442,CADELLO,VIC
2545,CADGEE,NSW
5271,CADGEE,SA
2800,CADIA,NSW
6466,CADOUX,WA
2850,CAERLEON,NSW
4343,CAFFEY,QLD
2424,CAFFREYS FLAT,NSW
6443,CAIGUNA,WA
4285,CAINBABLE,QLD
4722,CAIRDBEIGN,QLD
2446,CAIRNCROSS,NSW
3023,CAIRNLEA,VIC
4870,CAIRNS,QLD
7116,CAIRNS BAY,TAS
4870,CAIRNS CENTRAL,QLD
4870,CAIRNS CITY,QLD
4870,CAIRNS DC,QLD
4870,CAIRNS MC,QLD
4872,CAIRNS MC,QLD
4870,CAIRNS MCLEOD STREET,QLD
4870,CAIRNS NORTH,QLD
4870,CAIRNS ORCHID PLAZA,QLD
2648,CAL LAL,NSW
2340,CALALA,NSW
2460,CALAMIA,NSW
4116,CALAMVALE,QLD
2800,CALARE,NSW
2871,CALARIE,NSW
4670,CALAVOS,QLD
5671,CALCA,SA
4816,CALCIUM,QLD
7325,CALDER,TAS
3037,CALDER PARK,VIC
3984,CALDERMEADE,VIC
4478,CALDERVALE,QLD
2527,CALDERWOOD,NSW
2710,CALDWELL,NSW
4798,CALEN,QLD
2250,CALGA,NSW
4570,CALGOA,QLD
4570,CALICO CREEK,QLD
2729,CALIFAT,NSW
3556,CALIFORNIA GULLY,VIC
2710,CALIMO,NSW
6569,CALINGIRI,WA
4390,CALINGUNEE,QLD
5310,CALIPH,SA
6167,CALISTA,WA
3573,CALIVIL,VIC
6302,CALJIE,WA
2308,CALLAGHAN,NSW
2422,CALLAGHANS CREEK,NSW
2422,CALLAGHANS CREEKS,NSW
2540,CALLALA BAY,NSW
2540,CALLALA BEACH,NSW
4390,CALLANDOON,QLD
5733,CALLANNA,SA
3381,CALLAWADDA,VIC
3387,CALLAWADDA,VIC
6260,CALLCUP,WA
4680,CALLEMONDAH,QLD
4715,CALLIDE,QLD
3844,CALLIGNEE,VIC
3844,CALLIGNEE NORTH,VIC
3844,CALLIGNEE SOUTH,VIC
5254,CALLINGTON,SA
2462,CALLIOPE,NSW
4680,CALLIOPE,QLD
5501,CALOMBA,SA
2795,CALOOLA,NSW
5254,CALOOTE,SA
2705,CALORAFIELD,NSW
4551,CALOUNDRA,QLD
4551,CALOUNDRA BC,QLD
4551,CALOUNDRA DC,QLD
4551,CALOUNDRA WEST,QLD
5341,CALPERUM,SA
5341,CALPERUM STATION,SA
3971,CALROSSIE,VIC
5490,CALTOWIE,SA
5490,CALTOWIE NORTH,SA
5490,CALTOWIE WEST,SA
3875,CALULU,VIC
862,CALVERT,NT
4340,CALVERT,QLD
2577,CALWALLA,NSW
2905,CALWELL,ACT
6728,CAMBALLIN,WA
2632,CAMBALONG,NSW
3779,CAMBARVILLE,VIC
2330,CAMBERWELL,NSW
3124,CAMBERWELL,VIC
3126,CAMBERWELL EAST,VIC
3124,CAMBERWELL NORTH,VIC
3124,CAMBERWELL SOUTH,VIC
3124,CAMBERWELL WEST,VIC
2540,CAMBEWARRA,NSW
2540,CAMBEWARRA VILLAGE,NSW
2849,CAMBOON,NSW
4719,CAMBOON,QLD
4358,CAMBOOYA,QLD
2420,CAMBRA,NSW
5353,CAMBRAI,SA
3352,CAMBRIAN HILL,VIC
4822,CAMBRIDGE,QLD
7170,CAMBRIDGE,TAS
2747,CAMBRIDGE GARDENS,NSW
6743,CAMBRIDGE GULF,WA
2747,CAMBRIDGE PARK,NSW
2469,CAMBRIDGE PLATEAU,NSW
4552,CAMBROON,QLD
7320,CAMDALE,TAS
2570,CAMDEN,NSW
2443,CAMDEN HEAD,NSW
2570,CAMDEN PARK,NSW
5038,CAMDEN PARK,SA
2570,CAMDEN SOUTH,NSW
4413,CAMEBY,QLD
2142,CAMELLIA,NSW
7316,CAMENA,TAS
2880,CAMERON CORNER,NSW
4492,CAMERON CORNER,QLD
2285,CAMERON PARK,NSW
2359,CAMERONS CREEK,NSW
6111,CAMILLO,WA
2469,CAMIRA,NSW
4300,CAMIRA,QLD
2469,CAMIRA CREEK,NSW
2062,CAMMERAY,NSW
4730,CAMOOLA,QLD
4828,CAMOOWEAL,QLD
822,CAMP CREEK,NT
4385,CAMP CREEK,NSW
4871,CAMP CREEK,QLD
4152,CAMP HILL,QLD
4520,CAMP MOUNTAIN,QLD
7026,CAMPANIA,TAS
4820,CAMPASPE,QLD
3564,CAMPASPE WEST,VIC
2612,CAMPBELL,ACT
4625,CAMPBELL CREEK,QLD
7210,CAMPBELL TOWN,TAS
3061,CAMPBELLFIELD,VIC
3381,CAMPBELLS BRIDGE,VIC
3387,CAMPBELLS BRIDGE,VIC
3451,CAMPBELLS CREEK,VIC
3556,CAMPBELLS FOREST,VIC
4521,CAMPBELLS POCKET,QLD
2560,CAMPBELLTOWN,NSW
3364,CAMPBELLTOWN,VIC
5074,CAMPBELLTOWN,SA
2560,CAMPBELLTOWN NORTH,NSW
1450,CAMPERDOWN,NSW
2050,CAMPERDOWN,NSW
3260,CAMPERDOWN,VIC
6421,CAMPION,WA
5640,CAMPOONA,SA
2194,CAMPSIE,NSW
2318,CAMPVALE,NSW
4737,CAMPWIN BEACH,QLD
2281,CAMS WHARF,NSW
2046,CANADA BAY,NSW
3350,CANADIAN,VIC
2850,CANADIAN LEAD,NSW
4413,CANAGA,QLD
4702,CANAL CREEK,QLD
3537,CANARY ISLAND,VIC
2835,CANBELEGO,NSW
2600,CANBERRA,ACT
2601,CANBERRA,ACT
2609,CANBERRA AIRPORT,ACT
2610,CANBERRA BC,ACT
2609,CANBERRA INTERNATIONAL AIRPORT,ACT
2610,CANBERRA MC,ACT
6315,CANCANNING,WA
2550,CANDELO,NSW
6710,CANE,WA
5417,CANEGRASS,SA
4740,CANELAND,QLD
2460,CANGAI,NSW
5268,CANGARA,SA
4630,CANIA,QLD
2480,CANIABA,NSW
3630,CANIAMBO,VIC
4570,CANINA,QLD
2166,CANLEY HEIGHTS,NSW
2166,CANLEY VALE,NSW
3890,CANN RIVER,VIC
6627,CANNA,WA
5268,CANNAWIGARA,SA
3540,CANNIE,VIC
4630,CANNINDAH,QLD
6153,CANNING BRIDGE APPLECROSS,WA
4357,CANNING CREEK,QLD
6111,CANNING MILLS,WA
6155,CANNING VALE,WA
6155,CANNING VALE DC,WA
6970,CANNING VALE DC,WA
6155,CANNING VALE SOUTH,WA
6107,CANNINGTON,WA
6980,CANNINGTON,WA
6987,CANNINGTON,WA
4370,CANNINGVALE,QLD
4310,CANNON CREEK,QLD
4380,CANNON CREEK,QLD
4170,CANNON HILL,QLD
4800,CANNON VALLEY,QLD
3977,CANNONS CREEK,VIC
4802,CANNONVALE,QLD
3393,CANNUM,VIC
2800,CANOBOLAS,NSW
2157,CANOELANDS,NSW
2825,CANONBA,NSW
4702,CANOONA,QLD
5419,CANOWIE,SA
5420,CANOWIE BELT,SA
2804,CANOWINDRA,NSW
4209,CANOWINDRA,QLD
872,CANTEEN CREEK,NT
2193,CANTERBURY,NSW
3126,CANTERBURY,VIC
2263,CANTON BEACH,NSW
5280,CANUNDA,SA
5291,CANUNDA,SA
4275,CANUNGRA,QLD
2577,CANYONLEIGH,NSW
4157,CAPALABA,QLD
4157,CAPALABA BC,QLD
4157,CAPALABA DC,QLD
4157,CAPALABA WEST,QLD
2429,CAPARRA,NSW
6452,CAPE ARID,WA
7257,CAPE BARREN ISLAND,TAS
5223,CAPE BORDA,SA
3305,CAPE BRIDGEWATER,VIC
6532,CAPE BURNEY,WA
3351,CAPE CLEAR,VIC
4810,CAPE CLEVELAND,QLD
3888,CAPE CONRAN,VIC
4800,CAPE CONWAY,QLD
5291,CAPE DOUGLAS,SA
4800,CAPE GLOUCESTER,QLD
4740,CAPE HILLSBOROUGH,QLD
5275,CAPE JAFFA,SA
5204,CAPE JERVIS,SA
6450,CAPE LE GRAND,WA
4025,CAPE MORETON,QLD
3233,CAPE OTWAY,VIC
3995,CAPE PATERSON,VIC
7182,CAPE PILLAR,TAS
7264,CAPE PORTLAND,TAS
6707,CAPE RANGE NATIONAL PARK,WA
7184,CAPE RAOUL,TAS
6328,CAPE RICHE,WA
3939,CAPE SCHANCK,VIC
4873,CAPE TRIBULATION,QLD
3925,CAPE WOOLAMAI,VIC
2469,CAPEEN,NSW
2469,CAPEEN CREEK,NSW
6271,CAPEL,WA
6271,CAPEL RIVER,WA
3940,CAPEL SOUND,VIC
4723,CAPELLA,QLD
3579,CAPELS CROSSING,VIC
2846,CAPERTEE,NSW
2600,CAPITAL HILL,ACT
2371,CAPOOMPETA,NSW
6642,CAPRICORN,WA
4677,CAPTAIN CREEK,QLD
2623,CAPTAINS FLAT,NSW
4357,CAPTAINS MOUNTAIN,QLD
6041,CARABAN,WA
6033,CARABOODA,WA
2650,CARABOST,NSW
3623,CARAG CARAG,VIC
2810,CARAGABAL,NSW
5641,CARALUE,SA
3371,CARALULUP,VIC
3274,CARAMUT,VIC
6566,CARANI,WA
6569,CARANI,WA
3477,CARAPOOEE,VIC
3478,CARAPOOEE,VIC
3477,CARAPOOEE WEST,VIC
3478,CARAPOOEE WEST,VIC
3312,CARAPOOK,VIC
2225,CARAVAN HEAD,NSW
4878,CARAVONICA,QLD
5680,CARAWA,SA
4723,CARBINE CREEK,QLD
6701,CARBLA,WA
3678,CARBOOR,VIC
4130,CARBROOK,QLD
6280,CARBUNUP RIVER,WA
2850,CARCALGONG,NSW
2791,CARCOAR,NSW
5301,CARCUMA,SA
2285,CARDIFF,NSW
6225,CARDIFF,WA
2285,CARDIFF HEIGHTS,NSW
2285,CARDIFF SOUTH,NSW
3352,CARDIGAN,VIC
3352,CARDIGAN VILLAGE,VIC
3978,CARDINIA,VIC
3496,CARDROSS,VIC
4854,CARDSTONE,QLD
6122,CARDUP,WA
4849,CARDWELL,QLD
2107,CAREEL BAY,NSW
5270,CAREW,SA
2283,CAREY BAY,NSW
5144,CAREY GULLY,SA
6230,CAREY PARK,WA
3334,CARGERIE,VIC
2800,CARGO,NSW
3512,CARINA,VIC
4152,CARINA,QLD
4152,CARINA HEIGHTS,QLD
4152,CARINA NORTH,QLD
2831,CARINDA,NSW
4152,CARINDALE,QLD
6020,CARINE,WA
3825,CARINGAL,VIC
1495,CARINGBAH,NSW
2229,CARINGBAH,NSW
2229,CARINGBAH SOUTH,NSW
3464,CARISBROOK,VIC
2630,CARLAMINDA,NSW
2118,CARLINGFORD,NSW
2118,CARLINGFORD COURT,NSW
2118,CARLINGFORD NORTH,NSW
6101,CARLISLE,WA
6101,CARLISLE NORTH,WA
3239,CARLISLE RIVER,VIC
6101,CARLISLE SOUTH,WA
6275,CARLOTTA,WA
3442,CARLSRUHE,VIC
2218,CARLTON,NSW
3053,CARLTON,VIC
7173,CARLTON,TAS
3054,CARLTON NORTH,VIC
7173,CARLTON RIVER,TAS
3053,CARLTON SOUTH,VIC
3685,CARLYLE,VIC
3687,CARLYLE,VIC
6076,CARMEL,WA
4739,CARMILA,QLD
4852,CARMOO,QLD
6517,CARNAMAH,WA
6701,CARNARVON,WA
4702,CARNARVON PARK,QLD
3163,CARNEGIE,VIC
2171,CARNES HILL,NSW
4310,CARNEYS CREEK,QLD
3351,CARNGHAM,VIC
2460,CARNHAM,NSW
2660,CARNSDALE,NSW
2347,CARODA,NSW
4300,CAROLE PARK,QLD
5291,CAROLINE,SA
4477,CAROLINE CROSSING,QLD
3023,CAROLINE SPRINGS,VIC
2486,CAROOL,NSW
2343,CAROONA,NSW
4344,CARPENDALE,QLD
3260,CARPENDEIT,VIC
4823,CARPENTARIA,QLD
5291,CARPENTER ROCKS,SA
6423,CARRABIN,WA
2311,CARRABOLLA,NSW
2440,CARRAI,NSW
3844,CARRAJUNG,VIC
3844,CARRAJUNG LOWER,VIC
3844,CARRAJUNG SOUTH,VIC
3874,CARRAJUNG SOUTH,VIC
2163,CARRAMAR,NSW
6031,CARRAMAR,WA
3361,CARRANBALLAC,VIC
4825,CARRANDOTTA,QLD
4211,CARRARA,QLD
6532,CARRARANG,WA
2711,CARRATHOOL,NSW
2871,CARRAWABBITY,NSW
2580,CARRICK,NSW
7291,CARRICK,TAS
5204,CARRICKALINGA,SA
5432,CARRIETON,SA
5715,CARRIEWERLOO,SA
2294,CARRINGTON,NSW
2324,CARRINGTON,NSW
4350,CARRINGTON,QLD
4883,CARRINGTON,QLD
2577,CARRINGTON FALLS,NSW
2340,CARROLL,NSW
2372,CARROLLS CREEK,NSW
6317,CARROLUP,WA
3480,CARRON,VIC
2330,CARROWBROOK,NSW
2460,CARRS CREEK,NSW
2460,CARRS ISLAND,NSW
2460,CARRS PENINSULA,NSW
2460,CARRS PENINSULAR,NSW
4816,CARRUCHAN,QLD
3197,CARRUM,VIC
3201,CARRUM DOWNS,VIC
4034,CARSELDINE,QLD
2221,CARSS PARK,NSW
4806,CARSTAIRS,QLD
4563,CARTERS RIDGE,QLD
6316,CARTMETICUP,WA
2168,CARTWRIGHT,NSW
2650,CARTWRIGHTS HILL,NSW
3494,CARWARP,VIC
2849,CARWELL,NSW
2620,CARWOOLA,NSW
2453,CASCADE,NSW
6450,CASCADE,WA
2913,CASEY,ACT
7151,CASEY,TAS
4500,CASHMERE,QLD
3305,CASHMORE,VIC
4035,CASHS CROSSING,QLD
2470,CASINO,NSW
2329,CASSILIS,NSW
3898,CASSILIS,VIC
5223,CASSINI,SA
4873,CASSOWARY,QLD
5076,CASTAMBUL,SA
4567,CASTAWAYS BEACH,QLD
3777,CASTELLA,VIC
3311,CASTERTON,VIC
2069,CASTLE COVE,NSW
3691,CASTLE CREEK,VIC
4715,CASTLE CREEK,QLD
3585,CASTLE DONNINGTON,VIC
2350,CASTLE DOYLE,NSW
7116,CASTLE FORBES BAY,TAS
1765,CASTLE HILL,NSW
2154,CASTLE HILL,NSW
4810,CASTLE HILL,QLD
2333,CASTLE ROCK,NSW
3862,CASTLEBURN,VIC
2068,CASTLECRAG,NSW
3450,CASTLEMAINE,VIC
2749,CASTLEREAGH,NSW
6450,CASTLETOWN,WA
7315,CASTRA,TAS
810,CASUARINA,NT
811,CASUARINA,NT
2487,CASUARINA,NSW
6167,CASUARINA,WA
2170,CASULA,NSW
2170,CASULA MALL,NSW
6507,CATABY,WA
2536,CATALINA,NSW
7109,CATAMARAN,TAS
3981,CATANI,VIC
2560,CATARACT,NSW
2632,CATHCART,NSW
3377,CATHCART,VIC
2557,CATHERINE FIELD,NSW
2281,CATHERINE HILL BAY,NSW
3714,CATHKIN,VIC
2823,CATHUNDRAL,NSW
2756,CATTAI,NSW
6255,CATTERICK,WA
2339,CATTLE CREEK,NSW
4407,CATTLE CREEK,QLD
4626,CATTLE CREEK,QLD
3537,CATUMNAL,VIC
3162,CAULFIELD,VIC
3145,CAULFIELD EAST,VIC
3161,CAULFIELD JUNCTION,VIC
3161,CAULFIELD NORTH,VIC
3162,CAULFIELD SOUTH,VIC
5238,CAURNAMONT,SA
2604,CAUSEWAY,ACT
4703,CAUSEWAY LAKE,QLD
2582,CAVAN,NSW
5094,CAVAN,SA
3660,CAVEAT,VIC
5422,CAVENAGH,SA
3314,CAVENDISH,VIC
6055,CAVERSHAM,WA
2281,CAVES BEACH,NSW
7304,CAVESIDE,TAS
5291,CAVETON,SA
4702,CAWARRAL,QLD
2570,CAWDOR,NSW
4352,CAWDOR,QLD
2474,CAWONGLA,NSW
2171,CECIL HILLS,NSW
2178,CECIL PARK,NSW
4407,CECIL PLAINS,QLD
2259,CEDAR BRUSH CREEK,NSW
2325,CEDAR CREEK,NSW
2484,CEDAR CREEK,NSW
4207,CEDAR CREEK,QLD
4520,CEDAR CREEK,QLD
4285,CEDAR GROVE,QLD
2429,CEDAR PARTY,NSW
4570,CEDAR POCKET,QLD
2474,CEDAR POINT,NSW
4285,CEDAR VALE,QLD
4514,CEDARTON,QLD
5690,CEDUNA,SA
5690,CEDUNA WATERS,SA
2324,CELLS RIVER,NSW
2424,CELLS RIVER,NSW
4352,CEMENT MILLS,QLD
4350,CENTENARY HEIGHTS,QLD
4869,CENTENARY PARK,QLD
2021,CENTENNIAL PARK,NSW
6330,CENTENNIAL PARK,WA
2252,CENTRAL COAST MC,NSW
2756,CENTRAL COLO,NSW
2775,CENTRAL MACDONALD,NSW
2250,CENTRAL MANGROVE,NSW
3145,CENTRAL PARK,VIC
7304,CENTRAL PLATEAU,TAS
4001,CENTRAL PLAZA,QLD
4702,CENTRAL QUEENSLAND MC,QLD
4701,CENTRAL QUEENSLAND UNIVERSITY,QLD
2546,CENTRAL TILBA,NSW
4627,CERATODUS,QLD
3221,CERES,VIC
6511,CERVANTES,WA
2325,CESSNOCK,NSW
2325,CESSNOCK WEST,NSW
7306,CETHANA,TAS
3148,CHADSTONE,VIC
3148,CHADSTONE CENTRE,VIC
6450,CHADWICK,WA
2460,CHAELUNDI,NSW
5341,CHAFFEY,SA
4610,CHAHPINGAH,QLD
7215,CHAIN OF LAGOONS,TAS
5231,CHAIN OF PONDS,SA
2259,CHAIN VALLEY BAY,NSW
2630,CHAKOLA,NSW
4133,CHAMBERS FLAT,QLD
2460,CHAMBIGNE,NSW
6111,CHAMPION LAKES,WA
4413,CHANCES PLAIN,QLD
4413,CHANCES PLAINS,QLD
5680,CHANDADA,SA
4155,CHANDLER,QLD
6490,CHANDLER,WA
3890,CHANDLERS CREEK,VIC
5159,CHANDLERS HILL,SA
6394,CHANGERUP,WA
822,CHANNEL ISLAND,NT
6260,CHANNYBEARUP,WA
3352,CHAPEL FLAT,VIC
4069,CHAPEL HILL,QLD
5153,CHAPEL HILL,SA
3141,CHAPEL STREET NORTH,VIC
2611,CHAPMAN,ACT
5253,CHAPMAN BORE,SA
6280,CHAPMAN HILL,WA
3239,CHAPPLE VALE,VIC
3318,CHARAM,VIC
2848,CHARBON,NSW
2024,CHARING CROSS,NSW
2424,CHARITY CREEK,NSW
3217,CHARLEMONT,VIC
3695,CHARLEROI,VIC
820,CHARLES DARWIN,NT
822,CHARLES DARWIN,NT
815,CHARLES DARWIN UNIVERSITY,NT
909,CHARLES DARWIN UNIVERSITY,NT
2678,CHARLES STURT UNIVERSITY,NSW
2795,CHARLES STURT UNIVERSITY,NSW
5244,CHARLESTON,SA
2290,CHARLESTOWN,NSW
4608,CHARLESTOWN,QLD
4470,CHARLEVILLE,QLD
6239,CHARLEY CREEK,WA
2622,CHARLEYS FOREST,NSW
822,CHARLOTTE,NT
2428,CHARLOTTE BAY,NSW
7112,CHARLOTTE COVE,TAS
2624,CHARLOTTE PASS,NSW
2624,CHARLOTTES PASS,NSW
2795,CHARLTON,NSW
3525,CHARLTON,VIC
4350,CHARLTON,QLD
5607,CHARLTON GULLY,SA
4309,CHARLWOOD,QLD
2263,CHARMHAVEN,NSW
2615,CHARNWOOD,ACT
5690,CHARRA,SA
4820,CHARTERS TOWERS,QLD
4820,CHARTERS TOWERS CITY,QLD
3030,CHARTWELL,VIC
7321,CHASM CREEK,TAS
2430,CHATHAM,NSW
2787,CHATHAM VALLEY,NSW
2580,CHATSBURY,NSW
2057,CHATSWOOD,NSW
2067,CHATSWOOD,NSW
4127,CHATSWOOD HILLS,QLD
2067,CHATSWOOD WEST,NSW
2469,CHATSWORTH,NSW
3379,CHATSWORTH,VIC
4570,CHATSWORTH,QLD
4475,CHEEPIE,QLD
2083,CHEERO POINT,NSW
4702,CHEESEBOROUGH,QLD
2800,CHEESEMANS CREEK,NSW
4068,CHELMER,QLD
4606,CHELMSFORD,QLD
4740,CHELONA,QLD
3196,CHELSEA,VIC
3196,CHELSEA HEIGHTS,VIC
2119,CHELTENHAM,NSW
3192,CHELTENHAM,VIC
4627,CHELTENHAM,QLD
5014,CHELTENHAM,SA
3192,CHELTENHAM EAST,VIC
3192,CHELTENHAM NORTH,VIC
3351,CHEPSTOWE,VIC
4605,CHERBOURG,QLD
4032,CHERMSIDE,QLD
4032,CHERMSIDE BC,QLD
4032,CHERMSIDE CENTRE,QLD
4032,CHERMSIDE SOUTH,QLD
4032,CHERMSIDE WEST,QLD
3434,CHEROKEE,VIC
3874,CHERRILONG,VIC
4306,CHERRY CREEK,QLD
4314,CHERRY CREEK,QLD
5157,CHERRY GARDENS,SA
4370,CHERRY GULLY,QLD
2360,CHERRY TREE HILL,NSW
6395,CHERRY TREE POOL,WA
2126,CHERRYBROOK,NSW
3401,CHERRYPOOL,VIC
5134,CHERRYVILLE,SA
4660,CHERWELL,QLD
3678,CHESHUNT,VIC
3678,CHESHUNT SOUTH,VIC
3725,CHESNEY VALE,VIC
2162,CHESTER HILL,NSW
3312,CHETWYND,VIC
4555,CHEVALLUM,QLD
4217,CHEVRON ISLAND,QLD
4880,CHEWKO,QLD
3451,CHEWTON,VIC
3451,CHEWTON BUSHLANDS,VIC
6328,CHEYNES,WA
2420,CHICHESTER,NSW
6751,CHICHESTER,WA
6556,CHIDLOW,WA
